firm_id,firm_name,ticker,sector,region,year,zscore,in_distress,zscore_lag1,X1,X2,X3,X4,X5,spei12_mean,spei12_min,drought_months,carbon_burden_low,carbon_burden_mid,carbon_burden_high,spei_x_carbon,log_assets,leverage,liquidity,roa,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,sec_Chimie & Parachimie,sec_Distribution & Commerce,sec_Energie & Mines,sec_Immobilier,sec_Industrie (autres),sec_Materiaux de construction,sec_Telecom & Technologies,sec_Transport & Logistique
MAR010,Ciments du Maroc,CMA,Materiaux de construction,Souss-Massa,2024,6.000007753854224,0,6.000012826522987,-3.1462803211880446e-06,7.043448948172256e-06,2.724279897344218e-07,10.0,7.695497157515645e-07,-1.098,-1.811,3,0.12595,0.2519,0.37785,-0.27658620000000006,31.556885189006447,4.587983460309797e-06,0.8563848062685258,2.724279897344218e-07,4913782.8201,9827565.6402,14741348.4603,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2019,6.000035183872891,0,,-1.655837445980477e-07,2.3926549406968404e-05,5.713035555302253e-07,10.0,1.0248201088598618e-10,-0.23,-0.916,2,0.12595,0.2519,0.3778499999999999,-0.057937,31.196143083422,0.0001184471756457,0.9944569855102569,5.713035555302253e-07,456.203495,912.40699,1368.610485,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2020,5.433627613850208,0,6.000035183872891,-2.987241568657755e-12,9.590313835339593e-07,3.2964710884038746e-11,9.05604374252554,2.5585748559473524e-08,0.484,-0.344,2,0.12595,0.2519,0.37785,0.1219196,29.802010181905843,4.168051200293247e-11,0.6666666666666666,3.2964710884038746e-11,28251.71855,56503.4371,84755.15565,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2021,7.539420357236669,0,5.433627613850208,-0.4000000000000001,2.0,0.0656950354609929,0.0043779003589878,5.0,-0.682,-1.328,4,0.12595,0.2519,0.37785,-0.17179580000000003,7.839131648274333,0.9000000000000001,0.6666666666666666,0.0656950354609929,229643.365424,459286.730848,688930.096272,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2022,6.266789086459118,0,7.539420357236669,0.5686350829090859,2.0,0.2803701458400788,0.7354942052200133,1.4179089825639473,-1.828,-2.415,5,0.12595,0.2519,0.37785,-0.4604732,6.364124054490907,0.731129313373611,5.221367018692306,0.2803701458400788,103.69324955,207.3864991,311.07974865,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2023,1.500770694680011,1,6.266789086459118,0.305720823798627,0.0485270789434054,0.1324094717140505,0.8283747950399676,0.1319916619205436,-1.242,-1.997,3,0.12595,0.2519,0.37785,-0.3128598,6.783525633517074,0.7071198638551501,1.6185185185185185,0.1324094717140505,14.6822434,29.3644868,44.046730200000006,False,False,False,False,False,True,False,False
MAR011,SONASID,SID,Materiaux de construction,Rabat-Sale-Kenitra,2024,6.013828047010808,0,1.500770694680011,-2.456855665540011e-13,5.73500330291605e-08,0.0041902929451089,10.0,2.1970816512088533e-12,-0.702,-1.358,1,0.12595,0.2519,0.37785,-0.17683379999999999,31.60240026620903,1.5293250366730368e-11,0.6666666666666666,0.0041902929451089,14.6822434,29.3644868,44.046730200000006,False,False,False,False,False,True,False,False
MAR013,Aluminium du Maroc,ALM,Materiaux de construction,Casablanca-Settat,2020,14.13505376344086,0,,-0.4000000000000001,2.0,2.0,0.3584229390681003,5.0,0.283,-0.132,0,0.12595,0.2519,0.37785,0.0712877,3.4339872044851463,0.9,0.6666666666666666,1.0,107046151.02335,214092302.0467,321138453.07005,False,False,False,False,False,True,False,False
MAR013,Aluminium du Maroc,ALM,Materiaux de construction,Casablanca-Settat,2021,8.043846070811744,0,14.13505376344086,0.5967130829015543,0.0250971502590673,2.0,0.0089953943580886,0.6872571243523315,-0.975,-1.804,5,0.12595,0.2519,0.37785,-0.2456025,7.118988179270512,0.9,3.935324571883712,1.0,106.918955,213.83791,320.756865,False,False,False,False,False,True,False,False
MAR013,Aluminium du Maroc,ALM,Materiaux de construction,Casablanca-Settat,2022,3.657375165050978,0,8.043846070811744,-0.4,0.0250971502590673,0.0752104922279792,5.1972903225806455,0.7356703367875648,-1.207,-2.073,4,0.12595,0.2519,0.37785,-0.3040433,7.118988179270512,0.0250971502590673,0.6666666666666666,0.0752104922279792,114.45076500000002,228.90153000000004,343.352295,False,False,False,False,False,True,False,False
