time,lat,lon,spei12,region
2000-01-16,32.75,-8.25,-0.40900195,Casablanca-Settat
2000-01-16,32.75,-7.75,-0.44841567,Casablanca-Settat
2000-01-16,32.75,-7.25,-0.68352157,Casablanca-Settat
2000-01-16,32.75,-6.75,-0.76910055,Beni Mellal-Khenifra
2000-01-16,32.75,-6.25,-1.042865,Beni Mellal-Khenifra
2000-01-16,32.75,-5.75,-1.1421564,Beni Mellal-Khenifra
2000-01-16,32.75,-5.25,-1.2620142,Beni Mellal-Khenifra
2000-01-16,32.75,-4.75,-1.4131858,Fes-Meknes
2000-01-16,32.75,-4.25,-1.2994138,Fes-Meknes
2000-01-16,32.75,-3.75,-1.2277732,Fes-Meknes
2000-01-16,32.75,-3.25,-1.2850538,Oriental
2000-01-16,32.75,-2.75,-1.0342947,Oriental
2000-01-16,32.75,-2.25,-1.1502277,Oriental
2000-01-16,32.75,-1.75,-0.9931253,Oriental
2000-01-16,32.75,-1.25,-1.1697687,Oriental
2000-01-16,33.25,-8.75,-0.3289464,Casablanca-Settat
2000-01-16,33.25,-8.25,-0.45199525,Casablanca-Settat
2000-01-16,33.25,-7.75,-0.5443036,Casablanca-Settat
2000-01-16,33.25,-7.25,-0.66664886,Casablanca-Settat
2000-01-16,33.25,-6.75,-0.917173,Rabat-Sale-Kenitra
2000-01-16,33.25,-6.25,-1.1313504,Beni Mellal-Khenifra
2000-01-16,33.25,-5.75,-1.2824527,Beni Mellal-Khenifra
2000-01-16,33.25,-5.25,-1.294262,Fes-Meknes
2000-01-16,33.25,-4.75,-1.3048137,Fes-Meknes
2000-01-16,33.25,-4.25,-1.3451493,Fes-Meknes
2000-01-16,33.25,-3.75,-1.2726679,Fes-Meknes
2000-01-16,33.25,-3.25,-1.3070579,Oriental
2000-01-16,33.25,-2.75,-1.2277492,Oriental
2000-01-16,33.25,-2.25,-1.0538498,Oriental
2000-01-16,33.25,-1.75,-1.169184,Oriental
2000-01-16,33.25,-1.25,-1.268273,Oriental
2000-01-16,33.75,-7.75,-0.6319369,Casablanca-Settat
2000-01-16,33.75,-7.25,-0.8046142,Casablanca-Settat
2000-01-16,33.75,-6.75,-1.2207501,Rabat-Sale-Kenitra
