firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed
MAR045,Ennakl Automobiles,Industrie (autres),Casablanca-Settat,2024,31.0,24.8,210722941.55,1.2208046310934046e+17,5.8510848952550536e+16,27.900000000000002,7433557584220027.0,,ENA,2012
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2019,31.0,24.8,10.0,95.738,-268.2,10.0,711.0,33.6,JET,2014
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2020,3187943989.05,2395643813.22,1268272999.25,3000000.0,131976.0,186994948.07,10627970.99,4801518465.568,JET,2014
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2021,31.0,24.8,2670480835.18,3000000.0,-247.829,27.900000000000002,11.0,10.0,JET,2014
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2022,31.0,24.8,2687128288.86,3000000.0,-161.0,27.900000000000002,904011325.605,10.0,JET,2014
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2023,31.0,24.8,2904256889.79,3000000.0,2544973223121128.5,27.900000000000002,1808022640.21,10.0,JET,2014
MAR046,Jet Contractors,Industrie (autres),Rabat-Sale-Kenitra,2024,31.0,24.8,3454810281.11,484720453.24,5.8510848952550536e+16,27.900000000000002,36628158.33,10.0,JET,2014
MAR047,Involys,Industrie (autres),Casablanca-Settat,2021,2023.5,100.38,13.026,61.728,-247.829,162.801,69.364,,INV,2006
MAR049,Fenie Brossette,Industrie (autres),Casablanca-Settat,2020,544850533397.0,1399025086.0449998,813827360.42,2020.0,131976.0,31.0,0.0,,FBR,2000
MAR049,Fenie Brossette,Industrie (autres),Casablanca-Settat,2021,544850533397.0,320189159.34,526445.0,1500311.1505,-247.829,23247796.44,2021.0,,FBR,2000
MAR049,Fenie Brossette,Industrie (autres),Casablanca-Settat,2022,544850533397.0,1500514120.9650002,1542301414.94,2311150.855,-161.0,484095014.46500003,2022.0,,FBR,2000
MAR049,Fenie Brossette,Industrie (autres),Casablanca-Settat,2023,544850533397.0,463067593.93,304744253.32,37968940.64,2544973223121128.5,250126313.17,2023.0,871360651334.128,FBR,2000
MAR049,Fenie Brossette,Industrie (autres),Casablanca-Settat,2024,544850533397.0,521.842,383.103,37.968,5.8510848952550536e+16,255.887,2024.0,,FBR,2000
MAR050,AFMA,Industrie (autres),Casablanca-Settat,2020,9234274940.0,7387419952.0,520477482651.0,1183212112.0,131976.0,200927737.0,179760555.15,14453355524.800001,AFM,2000
